ARABLE,GLHU,o,GLU,i,GM,m,P0,P2,P1,P7,W,L,L,M0.404,M0.151,M0.316
ARABLE,CRGL,o,GLI,i,GX,h,P0,P2,P18,P4,I,L,L,M0.416,M0.152,M0.322
ARABLE,CRHI,o,GLI,i,GX,m,P0,P2,P15,P6,I,L,L,M0.406,M0.151,M0.317
NON-ARABLE,PHSO,o,PHL,i,HCN,h,P0,P3,P8,P8,W,H,L,M0.416,M0.148,M0.342
ARABLE,PHGL,o,PHG,i,HG,h,P0,P3,P1,P8,W,L,L,M0.416,M0.148,M0.294
ARABLE,PHCA,o,PHC,i,HGC,m,P0,P3,P1,P8,W,L,L,M0.416,M0.148,M0.342
ARABLE,PHHA,o,PHH,i,HH,h,P0,P3,P1,P8,W,L,L,M0.416,M0.148,M0.342
ARABLE,PHHA,o,PHH,i,HH,h,P0,P3,P1,P8,W,L,L,M0.416,M0.148,M0.342
ARABLE,PHLV,o,PHL,i,HL,h,P0,P3,P1,P8,W,L,L,M0.416,M0.148,M0.342
ARABLE,LPLI,o,LPQ,i,I,h,P0,P1,P3,P4,EX,L,L,M0.385,M0.049,M0.124
ARABLE,FLDY,o,FLD,i,JD,h,P0,P1,P13,P7,I,L,L,M0.462,M0.239,M0.364
ARABLE,FLEU,o,FLE,i,JE,h,P0,P1,P13,P7,I,L,L,M0.462,M0.239,M0.364
NON-ARABLE,FLSZ,o,FLS,i,JE,m,P0,P1,P13,P5,I,L,H,M0.396,M0.117,M0.255
NON-ARABLE,FLUM,o,FLU,i,JM,l,P0,P1,P15,P7,VP,L,L,M0.395,M0.128,M0.273
NON-ARABLE,FLTI,o,FLT,i,JT,h,P0,P3,P15,P7,VP,L,M,M0.417,M0.147,M0.342
ARABLE,KSHA,o,KSH,i,KH,h,P0,P3,P1,P6,W,L,L,M0.417,M0.146,M0.342
ARABLE,KSHA,o,KSH,i,KH,h,P0,P5,P1,P6,W,L,L,M0.561,M0.355,M0.497
ARABLE,KSLV,o,KSL,i,KL,h,P0,P4,P8,P6,W,M,M,M0.495,M0.293,M0.435
ARABLE,LVAB,o,LVA,i,LA,h,P0,P2,P1,P7,W,L,L,M0.404,M0.151,M0.316
NON-ARABLE,HSCY,o,HSF,i,OD,m,P0,P8,P15,P3,VP,L,L,M0.708,M0.211,M0.648
NON-ARABLE,HSFI,o,HSF,i,OD,m,P0,P8,P15,P3,VP,L,L,M0.708,M0.211,M0.648
NON-ARABLE,HSSZ,o,HSS,i,OE,l,P0,P8,P15,P5,VP,L,H,M0.767,M0.269,M0.707
ARABLE,PZHI,o,PZH,i,PGH,l,P0,P1,P1,P6,EX,L,L,M0.377,M0.044,M0.139
ARABLE,PZET,o,PZB,i,PHF,m,P0,P1,P2,P5,EX,L,L,M0.38,M0.046,M0.129
ARABLE,PZHA,o,PZH,i,PHF,m,P0,P1,P1,P6,EX,L,L,M0.377,M0.044,M0.139
ARABLE,PZRS,o,PZH,i,POF,m,P0,P1,P2,P6,EX,L,L,M0.377,M0.044,M0.124
ARABLE,ARPR,o,ARB,i,QC,l,P0,P1,P12,P7,EX,L,L,M0.375,M0.043,M0.135
ARABLE,CRCC,o,LPI,i,RX,l,P0,P2,P18,P4,W,L,L,M0.416,M0.152,M0.322
ARABLE,CRHA,o,LPI,i,RX,m,P0,P1,P4,P3,EX,L,L,M0.394,M0.054,M0.184
ARABLE,CRTU,o,LPI,i,RX,h,P0,P2,P4,P3,W,L,L,M0.421,M0.123,M0.303
NON-ARABLE,CROA,o,RGI,i,RX,l,P0,P2,P18,P4,VP,L,L,M0.416,M0.152,M0.322
ARABLE,CRYE,o,RGI,i,RX,m,P0,P2,P18,P3,W,L,L,M0.421,M0.123,M0.303
NON-ARABLE,SNGL,o,SNG,i,SG,h,P0,P3,P8,P6,W,H,L,M0.417,M0.146,M0.342
NON-ARABLE,SNGL,o,SNG,i,SG,h,P0,P3,P8,P6,W,H,L,M0.417,M0.146,M0.342
ARABLE,ANAO,o,ANH,i,TO,l,P0,P1,P2,P6,EX,L,L,M0.377,M0.044,M0.148
ARABLE,ANHI,o,ANH,i,TH,l,P0,P1,P2,P6,EX,L,L,M0.377,M0.044,M0.148
ARABLE,CRAN,o,ANI,i,TV,m,P0,P1,P2,P6,EX,L,L,M0.377,M0.044,M0.124
ARABLE,LPHU,o,LPU,i,UD,m,P0,P1,P3,P3,EX,L,L,M0.394,M0.054,M0.164
ARABLE,LPHU,o,LPU,i,UD,m,P0,P2,P3,P3,W,L,L,M0.421,M0.123,M0.275
ARABLE,LPMO,o,LPM,i,UD,l,P0,P1,P2,P3,EX,L,L,M0.394,M0.054,M0.164
ARABLE,LPMO,o,LPM,i,UD,l,P0,P2,P2,P3,W,L,L,M0.421,M0.123,M0.275
ARABLE,VRHA,o,VRE,i,VG,m,P0,P5,P15,P6,I,L,L,M0.561,M0.355,M0.497
ARABLE,VRPE,o,VRE,i,VP,m,P0,P5,P1,P6,W,L,L,M0.561,M0.355,M0.497
ARABLE,PLLV,o,PLM,i,WD,m,P0,P2,P15,P6,TP,L,L,M0.508,M0.3,M0.444
NON-ARABLE,PLGL,o,PLE,i,WH,m,P0,P2,P15,P6,VP,L,L,M0.388,M0.072,M0.186
ARABLE,PLMO,o,PLM,i,WM,h,P0,P2,P1,P6,W,L,L,M0.406,M0.151,M0.289
ARABLE,PLMO,o,PLM,i,WM,h,P0,P5,P1,P6,W,L,L,M0.561,M0.355,M0.497
ARABLE,PLAB,o,PLE,i,WS,m,P0,P2,P1,P6,W,L,L,M0.508,M0.3,M0.444
ARABLE,CLHA,o,CLH,i,XK,m,P0,P1,P12,P6,EX,L,L,M0.377,M0.044,M0.139
NON-ARABLE,CLSZN,o,CLL,i,XK,m,P0,P2,P7,P6,W,M,H,M0.406,M0.151,M0.317
NON-ARABLE,CLSZN,o,CLL,i,XK,m,P0,P2,P12,P6,W,L,H,M0.406,M0.151,M0.317
NON-ARABLE,SCGL,o,SCG,i,ZG,h,P0,P3,P7,P5,P,L,H,M0.419,M0.145,M0.342
NON-ARABLE,SCHA,o,SCH,i,ZO,h,P0,P3,P7,P6,W,L,H,M0.417,M0.146,M0.342
ARABLE,FLEU,o,FLE,i,XXX,x,P1,P2,P1,P7,W,L,L,M0.404,M0.151,M0.314
ARABLE,VREU,o,VRE,i,XXX,x,P1,P4,P7,P6,I,L,M,M0.493,M0.293,M0.431
NON-ARABLE,FLSZ,o,FLS,i,XXX,x,P1,P4,P8,P7,I,M,H,M0.491,M0.294,M0.43
ARABLE,VREU,o,VRE,i,XXX,x,P1,P4,P10,P6,MW,L,L,M0.493,M0.293,M0.303
NON-ARABLE,VRSZ,o,FLS,i,XXX,x,P1,P4,P7,P6,MW,M,H,M0.495,M0.293,M0.435
NON-ARABLE,FLSZ,o,FLS,i,XXX,x,P1,P1,P7,P7,MW,M,H,M0.395,M0.128,M0.253
NON-ARABLE,SCGY,o,SCY,i,XXX,x,P1,P4,P7,P2,TP,L,H,M0.52,M0.28,M0.45
ARABLE,ARHA,o,ARH,i,XXX,x,P1,P1,P12,P7,EX,L,L,M0.375,M0.043,M0.131
ARABLE,ARHA,o,ARH,i,XXX,x,P1,P1,P12,P7,EX,L,L,M0.375,M0.043,M0.131
ARABLE,AREU,o,ARH,i,XXX,x,P2,P2,P14,P7,W,L,L,M0.384,M0.066,M0.217
ARABLE,ARHA,o,ARH,i,XXX,x,P1,P1,P12,P7,EX,L,L,M0.375,M0.043,M0.131
ARABLE,RGCA,o,RGC,i,XXX,x,P1,P1,P12,P6,EX,L,L,M0.377,M0.044,M0.134
NON-ARABLE,FLCA,o,FLC,i,XXX,x,P1,P1,P2,P2,EX,L,L,M0.403,M0.06,M0.17
ARABLE,LPLI,o,LPQ,i,XXX,x,P1,P1,P4,P5,EX,L,L,M0.38,M0.046,M0.132
